"study","ecosystem","top_bottom_both","phyto_func_response","func_group_type","zoo","fish","microbes","location","study_type","experimental_design","manipulation","coordinates","spatial extent_km","temporal duration","trophic state","importance_td_vs_bu","zoop_func_response","notes","include","reviewer","year"
"Ma et al 2021","freshwater",3,1,"taxonomic, morphological, physiological",1,0,0,"Lake Hulun","field","in situ","NA","48°31'49°2''N, 116°58'117°48'E","10 sites","NA","eutrophic","bu",1,NA,"yes","Isabelle",2021
"Ma et al 2021","freshwater",3,1,"physiological",1,0,0,"Lake Hulun, China","field","none","no manipulation, but effects were related to water temperature (WT), total phosphorus
(TP), total nitrogen (TN), conductivity (Cond), water transparency (SD), and dissolved oxygen (DO)","48°31'-49°20'N, 116°58'-117°48'E","NA","May 2019 to October 2019","NA",NA,1,"Approximately 43 phytoplankton species were observed and grouped into 23 functional groups. For the zooplankton, about 27 species were observed and classified into 8 functional groups. The study revealed that the bottom-up effects of physical-chemical variables on some phytoplankton functional groups was stronger than the top-down effects of zooplankton. Phytoplankton species were classified into functional groups (FGs) according to (Padisák et al., 2009) and (Reynolds et al., 2002). The zooplankton species were classified into functional groups based on their body size/ length and mode of feeding (Benedetti et al., 2015; Benedetti et al., 2018; Ma et al., 2019b; Mwagona et al., 2018).","yes","Anika",2021
"Ma et al 2021","freshwater",3,1,"taxonomic, physiological",1,0,0,"Lake Hulun, China.","field","in situ","NA","48°310 49°200N, 116°580 117°480E","Various sample sites","May-October","Eutrophic",NA,1,"Phytoplankton and zooplankton focused","y","Britt",2021
"Mandal et al 2018","freshwater",3,1,"morphological, physiological",1,0,0,"NA","lab","experiment","phytoplankton species (as food), feeding experiment","NA","NA","24h","NA",NA,0,"Phytoplankton was centrifuged and fed to Daphnia - not sure if that counts here. Traits: Fatty acid contents, growth rate, capacity, cell volume, C:N, C:P, minimum P and N requirements, grazing, Daphnia growth under respective strain, conversion efficiency","yes","Anika",2018
"Mandal et al 2018","freshwater",3,1,"taxonomic, morphological, physiological",1,0,0,"University of Calfornia San Diego","lab","experiment","grazing experiments","NA","NA","~1 week??","NA?","td",0,"Focus on various functional traits of phytoplankton","y","Britt",2018
"Mathes and Arndt 1995","freshwater",3,1,"taxonomic",1,0,1,"Lake Neumuhler, Germany","field","in situ","NA","NA","20 km^2","February 1990-March 1991","mesoeutrophic",NA,0,"NA","y","Britt",1995
"Mathes and Arndt 1995","freshwater",3,1,"taxonomic, morphological",1,0,0,"Lake Neumühler, Mecklenburg-Vorpommern, Germany","field","in situ","NA","53.6451° N, 11.3348° E","1 station","Feb. 1990 - Mar. 1991","mesoeutrophic",NA,1,"while it mainly focuses on zoops and protozoans, I think we can still get some phytoplankton data from this because they did standard measurements etc.","Yes","Emmy",1995
"McCollum et al 1998","freshwater",3,1,"taxonomic",0,1,0,"Raleigh NC Aquatic Research Facility","lab","experiment","predators","NA","24 aquaria, 72 L each","6 weeks","meso-eutrophic",NA,0,NA,"y","Heather",1998
"McCollum et al 1998","freshwater",1,1,"taxonomic",0,1,0,"NCSU Aquatic Research Facility, Raleigh, NC, USA","lab","experiment","predator","NA","24 aquaria","6-weeks. June-Aug. 1992","NA","td",0,"nice basic experiment, links fish to snail predation effects on periphyton. Which actually begs the question of are we including periphyton as phytoplankton? If yes include, if no exclude.","Maybe","Emmy",1998
"Middelbo et al 2018","marine",NA,1,"morphological",1,0,0,"Young Sound, NE Greenland","field","in situ","salinity gradient","74°18' N ; 20°10' W","4 stations","mid-July to early October 2014","na",NA,1,"focus on zooplankton. only chl-a for phytoplankton biomass. size-fractionated Chl a concentrations (<10um or >10um). measured zooplankton taxonomic group abundances","include","Megan",2018
"Middelbo et al 2018","marine",3,1,"morphological",1,0,0,"Young Sound, NE Greenland","field","in situ","NA","(74°18' N, 20°10' W)","4 station transect through whole season, 25 station transect 4 times.","mid July - early Oct.","NA","td",1,"while they have a bit of an angle preferencing the copepods, there is a lot of relevant phytoplankton data and findings and it fits our criiteria.","Yes","Emmy",2018
"Montes-Hugo and Alvarez-Borrego 2007","estuary",3,1,"taxonomic",1,0,0,"Coastal lagoon Baja California","field","in situ","NA","NA","NA","3 days","NA",NA,1,"Brackish water (coastal lagoon)","y","Ewaldo",2007
"Montes-Hugo and Alvarez-Borrego 2007","estuary",3,1,"taxonomic",1,0,0,"Estero de Punta Banda, California, USA","field","in situ","NA","NA","10 sampling stations","Oct. 2,4, and Dec. 2-3, 2003","NA","td",1,"so they use pigment and cell count, which normally wouldnt be enough, but they used HPLC to seperate pigments and identify different taxa that way.","Yes","Emmy",2007
"Muscarella et al 2014","freshwater",2,1,"taxonomic",1,0,1,"Michigan State University W. K. Kellogg Biological Station Experimental Pond Facility, MI, USA","field","experiment, omics","P - nutrients","NA","NA","28 days","eutrophic","bu",0,"NA","y","Britt",2014
"Muscarella et al 2014","freshwater",2,1,"taxonomic, omics",0,0,1,"W.K. Kellogg Biological Station Experimental Pond Facility, Hickory Corners, Miichigan, USA.","lab","experiment","nutrients","NA","24 mesocosms","28 days","well water with eutrophic or oligotrophic inoculum","bu",0,NA,"Yes","Emmy",2014
"Napiorkowska-Krzebietke et al 2023","freshwater",3,1,"taxonomic",1,0,0,"Lake Warnołty, Poland","field","in situ","NA","NA","Various sample sites across the lake","March 2016-February 2017",NA,NA,1,"Taxonomically assign plankton into functional groups and assign response curves - but focused on fish effects on this group.","y","Britt",2023
"Napiorkowska-Krzebietke et al 2023","freshwater",3,1,"taxonomic, morphological",1,1,0,"Kamien reservior, Poland","field","in situ","NA","51°15' 18.9"" N, 19°12'15.4"" E.","3 chambers","2014/2015 and 2018/2019","eutrophic",NA,1,NA,"Yes","Emmy",2023
"Papantoniou et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EXCLUDE - no phyto functional groups","n","Heather",2021
"Papantoniou et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No functional groups / traits for phytoplankton, focus on fish","n","Britt",2021
"Papantoniou et al 2021","marine",3,1,"physiological",1,1,0,"Mediterranean","model","in silico","NA","NA","Various sample sites",NA,"Oligotrophic historically",NA,1,"Seems good to include heavy emphasis on trophic forcing of td/bu","y","Britt",2021
"Peralta-Maraver et al 2017","freshwater",NA,1,"taxonomic",1,1,0,"Santa Catarina, Southern Brazil","field","in situ","NA","27°44′S, 48°31′W",NA,"6 years","NA",NA,NA,"Doesnt look into nutrients, focuses on foodweb dynamics on biotic part. Doesnt draw conclusions about TD or BU","?","Ewaldo",2017
"Peralta-Maraver et al 2017","freshwater",3,1,"taxonomic",1,1,0,"Santa Catarina State, Southern Brazil","field","in situ","NA","27°44′S, 48°31′W","5.07 km2","4.5 years","NA",NA,1,"taxonomic data used for shannon diversity in supplement","y","Heather",2017
"Piehler et al 2010","marine",2,1,"taxonomic, morphological, physiological",0,0,0,"Beauford, NC","field, lab","in situ, experiment","nutrient","34.5N, 76.5W","NA","5 weeks","NA",NA,0,NA,"y","Ewaldo",2010
"Piehler et al 2010","estuary",2,1,"morphological, physiological",0,0,0,"Beaufort, NC","field, lab","in situ, experiment","nutrients","34.5N, 76.5W","NA","5 weeks","NA",NA,0,"""Functional groups are defined here according to Thingstad et al. (2010) as a group of microalgae that share important properties such as size, substrate utilization, common predators, and motility that govern their role in food web and biogeochemical processes""; also only mention top-down has been found by others but they don't test this mechanism in this study","y","Heather",2010
"Pinheiro-Silva et al 2020","freshwater",1,1,"taxonomic",1,0,0,"Southern Brazil","field","in situ","NA","27° 44' S, 48° 31' W","NA","1 year","NA",NA,1,NA,"y","Heather",2020
"Pinheiro-Silva et al 2020","freshwater",1,1,"taxonomic, morphological",1,0,0,"Peri Lake, Brazil","field","in situ","Predation","(27° 440 S, 48° 310 W",NA,"April 2011-March 2012","hypereutrophic","td",1,"They kinda break up phytoplankton in functional groups but unsure if it is enough","y","Britt",2020
"Pinheiro-Silva et al 2020","freshwater",1,1,"taxonomic, morphological",1,0,0,"Peri Lake","field","in situ","NA","27° 44′ S, 48° 31′ W","One site? Unsure","12 months","NA","td",0,"Focus on phytoplankton size and taxonomy / morphology","y","Britt",2020
"Poxleitner et al 2016","freshwater",3,1,"taxonomic",1,0,0,"lake Brunnensee in Upper Bavaria, Germany","field","experiment",NA,"47°59′ N, 12°26′ E","NA","9 weeks","oligotrophic","bu",1,NA,"y","Ewaldo",2016
"Poxleitner et al 2016","freshwater",2,1,"taxonomic",1,0,0,"Lake Brunnensee, Upper Bavaria, Germany","field, lab","experiment","nutrients","47°590 N, 12°260 E","12 enclosures within the one lake","9 weeks (spring 2013)","oligotrophic","bu",0,"they mention phyto diversity, but focus mainly on the biomass aspects, etc. I would say include since it still seperates the taxa","Yes","Emmy",2016
"Reaugh et al 2007","estuary",3,1,"morphological",1,0,0,"Chesapeak Bay, MD, USA","field, lab","in situ, experiment","predator",NA,NA,"3 months in three consecutive years","NA",NA,1,"maybe? heterotrophic microplankton. for purely phytoplankton, used chlorophyll, but in two size fractions","y","Ewaldo",2007
"Reaugh et al 2007","estuary",3,1,"taxonomic, morphological",1,0,NA,"Chesapeake Bay, Maryland","field, lab","in situ, experiment","predator","NA","NA","March-May over 3 years","NA","td",0,NA,"y","Heather",2007
"Rizo et al 2020","freshwater",2,1,"taxonomic",1,0,0,"Guangzhou, China","field","in situ","NA","23° 45' N, 113° 46' E","30 sites; 15.25 km2","2 months","NA",NA,1,"although the focus is on zoops, they do identify which phyto groups are most important for each zoop group","y","Heather",2020
"Rizo et al 2020","freshwater",2,0,"taxonomic",1,0,0,"Liuxihe reservoir, China","field","in situ","na","23°45' N; 113°46' E","15.25 km2 reservoir; 30 sites","Jan 14 - Mar 14, 2014",NA,NA,1,"focus is on zooplankton, but also measures phytoplankton community structure; 3 zooplankton groups: rotifers, cladocerans, and copepods; only draws conclusions about bottom-up impact of phyto on zooplankton groups","maybe; exclude","Megan",2020
"Roberts et al 2003","freshwater",3,0,"taxonomic",1,0,1,"Lake Hoare","field","in situ","NA","77°38'S 162°55'E","4 sampling sites","summer 1996-1998","oligotrophic",NA,0,"It was mentioned what taxomic phytoplankton group was dominant, but it didnt report top down bottom up drivers related to that","yes","Isabelle",2003
"Roberts et al 2003","freshwater",3,1,"taxonomic",0,0,1,"Taylor Valley, Antarctica","field","in situ","NA","77°38'S 162°55'E","NA","weekly-fortnightly throughout 2 summers","NA","bu",0,"lack of top-down control characteristic of antarctic lakes","y","Heather",2003
"Rochera et al 2017","freshwater",NA,0,"taxonomic",1,0,1,"Lake Limnopolar","field","in situ","NA",NA,"sampled 2 depths- 1 m below ice and 4.5 m below ice","austral summer of 2003-2004","oligotrophic","bu",0,NA,"no","Isabelle",2017
"Rochera et al 2017","freshwater",3,1,"taxonomic",NA,NA,1,"southwestern Byers Peninsula, Antarctica","field","in situ","NA","NA","2.2 ha","6 days over ~2 month period","oligotrophic",NA,1,"they talk about pigments so I'm saying yes","y","Heather",2017
"Rochera et al 2017","freshwater",2,NA,"taxonomic",NA,NA,NA,"Lake Limnopolar, Byers Peninsula, Livingston Is., Antarctica (seasonally ice-covered lake)","field","in situ",NA,NA,NA,NA,NA,NA,NA,"size: pico phytoplankton dominate under low light; larger phytoplankton dominate at onset of ice melting.  //  Not really a manipulation experiment - just measures abundance of many taxa every 2 weeks for 2 months. discusses link to changes in environment (ice cover, light level, turbulence), but doesn't report data for environmental conditions.","leaning toward exclude","Megan",2017
"Samuelsson and Andersson 2003","marine",3,1,"morphological",1,0,1,"northern Baltic Sea","lab","experiment","predators","63° 30.5’ N, 19° 48.0’ E","NA","8 days","oligotrophic",NA,0,"they look at cyanobacteria filtered into different size classes; they don't specifically manipulate nutrients but they see changes in nutrient concentrations and talk about implications of bottom-up mechanisms","y","Heather",2003
"Samuelsson and Andersson 2003","marine",3,1,"morphological",1,0,1,"Baltic Sea","field","experiment","Size fractionation,","(63° 30.5’ N, 19° 48.0’ E)",NA,"8 days","NA","td",0,"Size fractionation of samples","y","Britt",2003
"Samuelsson and Andersson 2003","marine",1,1,"morphological",1,0,0,"Baltic Sea","field","in situ","predation","NA","incubations in situ","8 days","NA","td",1,"Good paper on td effects!","y","Britt",2003
"Sauterey et al 2015","marine",3,1,"taxonomic, morphological",1,0,0,"NA","model","none","cell size?","NA","NA","NA","NA",NA,0,"""phytoplankton species are divided into four functional groups, Prochlorococcus, Synechococcus, small eukaryotes and diatoms"", ""The evolving trait we chose is cell volume""","yes","Anika",2015
"Sauterey et al 2015","marine",2,1,"taxonomic",0,0,0,"NA","model","in silico","physics of water column and evolution","NA","NA","NA","NA?",NA,0,"Uses a model that focuses on nitrogen uptake and metabolism in marine phytoplankton","y","Britt",2015
"Schiaffino et al 2019","freshwater",3,1,"morphological, physiological",1,0,1,"Pampa Region, Argentina","field","none","none","Shallow lakes Gomez (34°39'60 S, 61°1'40W) and Carpincho (34°34'70S, 60°54'30W)",NA,"27 months (monthly samples, October 2012 to
December 2014)","hypertrophic",NA,1,"Phytoplankton species were discriminated into two different groups according to their trophic strategy: strictly photosynthetic and mixotrophic (phagotrophic). The strictly photosynthetic algae were divided in morphology-based functional groups from I to VII (Kruk et al., 2010; Colina et al., 2016). Functional groups of zooplankton, considering their feeding strategies, were classified according to Jose´ de Paggi et al. (2014).","yes","Anika",2019
"Schiaffino et al 2019","freshwater",3,1,"taxonomic, morphological",1,0,1,"Lake Gómez and Carpincho, Argenitina","field","in situ","NA","NA","NA","27 months","hypertrophic",NA,1,"Not a huge emphasis on top/down or bottom-up but implications are mentioned throughout based on the time series data","y","Britt",2019
"Schrum et al 2006","marine",3,1,"taxonomic",1,0,0,"North and Baltic Seas","model","in silico","NA","NA","NA","1 year","NA","bu",1,NA,"y","Heather",2006
"Schrum et al 2006","marine",3,1,"taxonomic",1,0,0,"North Sea","model","in silico","na","4W - 10E, 50N - 60N",NA,"1 year","na",NA,NA,"model development paper, not hypothesis driven; 2 phyto groups: diatoms and flagellates","maybe","Megan",2006
"Sommer et al 2001","freshwater",1,1,"morphological",1,0,0,"Lake Schöhsee, N Germany","field","experiment","density of zooplankton and types of zooplankton","56°11′ N, 2°33′ W","24 mesocosms, 3.4m3 volume",NA,"mesotrophic",NA,1,"Do not specifially mention phytoplankton functional classification, but have phytoplankton = size structure; phytoplankton were exposed todifferent densities of two major types of herbivorous zooplankton, cladocerans and copepods","yes","Anika",2001
"Sommer et al 2001","freshwater",1,1,"taxonomic, morphological",1,0,0,"Lake Schöhsee, Germany","field","experiment","grazing incubations","NA","NA","10 days","mesotrophic","td",1,"Morphological classification of zoo and phytoplankton by size","y","Britt",2001
"Sommer et al 2003","freshwater",1,0,NA,1,0,0,"Lake Schöhsee, N Germany",NA,"experiment","density of zooplankton","56°11′ N, 2°33′ W","24 mesocosms, 3.4m3 volume",NA,"mesotrophic",NA,1,"EXCLUDE - Only functional aspects for zooplankton, but not phytoplankton. Zooplankton = Size, feeding mode","no","Anika",2003
"Sommer et al 2003","freshwater",1,1,"taxonomic, morphological",1,0,0,"Lake Schöhsee, Germany","field","experiment","microphasous vs. macrophagous grazing on phtyoplankton","NA","NA","20 days","mesotrophic","td",1,"Have functional groups for bothphyto and zoo plankton","y","Britt",2003
"Tong et al 2023","marine",3,0,NA,1,0,0,"Pearl River, S China",NA,NA,NA,NA,"50 stations","30 June to 12 July 2008",NA,NA,NA,"EXCLUDE - Does not mention functional classification at all. Phytoplankton = 13 diagnostic pigments to estimate the relative contributions of nine phytoplankton groups, The nine phytoplankton groups included dinoflagellates, diatoms, haptophytes_8,haptophytes_6, chlorophytes, cryptophytes, Prochlorococcus, Synechococcus, and prasinophytes.","no","Anika",2023
"Tong et al 2023","marine",3,1,"taxonomic",0,0,0,"Pearl River Plume, South China Sea","field","in situ, experiment","grazing incubations","Transect of 50 sample stations",NA,"June 30 - July 12, 2008","NA",NA,0,"Taxonomic classification of phytoplankton","y","Britt",2023
"Urrutia-Cordero et al 2021","freshwater",3,1,"taxonomic",1,1,1,"Sweden (Latitudinal experiment)","field","experiment","fish presence (pulse); light reduction (press)","5 lakes in Sweden (Feresj€on,Bolmen, Erssj€on, Erken, and Stortj€arn)","5 lake, 16 mescosms each","28 days (started in June or August)","Different across lakes","td",1,"They define functional reponses as community biomass and abundance, and compositional responses as taxonomic","yes","Anika",2021
"Urrutia-Cordero et al 2021","freshwater",3,1,"taxonomic, physiological",1,0,1,"Scandinavia","field","experiment","light availability, predator addition","NA","Five lakes along a latitudinal gradient (no mention of quantitative scale)","June and August 2017 (28 day experiments)",NA,"td",1,"Focus on top-down disturbances having strongest effect on all trophic levels assessed","y","Britt",2021
"Vad et al 2023","freshwater",3,1,"taxonomic",1,0,0,"Lunz, Austria","field","in situ, experiment","heatwave; dispersal","N 47°51'15.7"", E 15°04'3.8""","NA","June-August 2018 (44 days)",NA,NA,1,NA,"yes","Anika",2023
"Vad et al 2023","freshwater",3,1,"taxonomic, physiological",1,0,0,"Lunz, Austria","field, lab","experiment","temperature, community diversity / abundance in inoculum","N 47°51'15.7"", E 15°04'3.8""",NA,"June-August 2018","mesotrophic","td",1,"Observed weakened top-down control of zooplankton","y","Britt",2023
"Walsh et al 2011","marine",3,1,"taxonomic",1,0,0,"Arctic North of bering Strait","model","in silico","NA","NA","NA","1 year","NA",NA,0,NA,"y","Ewaldo",2011
"Walsh et al 2011","marine",3,1,"taxonomic",0,0,1,"Arctic Ocean","field, model","in situ, in silico","NA","NA","NA","2002 - 2004","NA","td",0,"this is a very comprehensive study, but uses a predictive model with cruise data to estimate potential future scenarios of HABs and phyto overgrowths which they mostly attribute to overfishing practices. Does look at phyto functional groups, idk to include globally though.","Maybe","Emmy",2011
"Ward et al 2014","marine",3,1,"morphological, physiological",1,0,0,"NA","model","none","cell size?","NA","NA","NA","NA",NA,1,"plankton community size structure,  55 different phytoplankton and zooplankton types across a broad range of size-classes; Phytoplankton traits are assigned primarily on the
basis of cell size, as described in Tables I and II (max. photosynthetic rate, max. uptake rate, half-saturation for uptake, etc.)","yes","Anika",2014
"Ward et al 2014","marine",3,1,"taxonomic, physiological",1,0,0,"NA (global food web model)","model","in silico","community size, spatial and temporal patterns","NA","NA","NA","NA?","td",0,"NA","y","Britt",2014
"Zadereev et al 2022","freshwater",3,1,"taxonomic",1,1,0,"Ozero Bele, Siberia","field","none","none","all coordinates of all 20 lakes in Table 1","20 lakes","17–21 July 2019 and 4–9 June, 17–20 August, and 12–14 October 2020","Various",NA,1,NA,"yes","Anika",2022
"Zadereev et al 2022","freshwater",3,1,"taxonomic",1,0,0,"18 lakes across Siberia","field","in situ","NA","NA","NA","July 2019 , and June, August and OCcober 2020","oligotorphic, mesotrophic and eutrophic",NA,1,"Also has robust analtsis of phytoplankton despite the title","y","Britt",2022
"Zhang et al 2007","freshwater",3,1,"taxonomic, morphological",1,0,0,"Lake Fuxian, Lake Xingyun","field","in situ","NA","24 °17′-37′N, 102 °49′-57′E,","Various sample sites","12 months","oligotrophic and eutrophic, respectively","bu",0,"Bottom up emphaisis","y","Britt",2007
"Zhang et al 2007","freshwater",3,1,"taxonomic, physiological",1,0,0,"Lake Fuxian and Lake Xingyun, Yunnan-Guizhou plateau, China","field","in situ","NA","24° 17'-37'N, 102° 49'-57'E","14 stations in LF, 7 stations in LX","Sept. 2002 - Sept. 2003","1 oligotrophic, 1 eutrophic",NA,1,NA,"Yes","Emmy",2007
"Zhong et al 2024","marine",3,1,"taxonomic",1,0,0,"Continental slope of South China Sea","field","in situ","NA","117.95°E; 21.67°N","NA","3 days; 4 days","NA",NA,0,"Showed that BOTH TD and BU were important. did both observations and grazing manipulation experiments","y","Ewaldo",2024
"Zhong et al 2024","marine",3,1,"taxonomic",1,0,0,"South China Sea","field","in situ","NA","117.95°E; 21.67°N","two buoys, 53.3km and 67.8km","Jul. 14-20, 2016, and Jul. 12-20, 2017","NA",NA,1,"used hplc to characterize phyto. Also had a small grazing experiment on board, unrelated to sampling","Yes","Emmy",2024
"do Nascimento Filho et al 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EXCLUDE - only benthic microalgae, not unassociated phytoplankton","no","Anika",2019
"do Nascimento Filho et al 2019","freshwater",2,1,"taxonomic",0,0,0,"Pajeú River, Serra Talhada, Pernambuco, Brazil","field","in situ","NA - natural sampling","7° 56′ 53 ″ S and
38°17′ 00″W, 7° 58′10″ S and 38°19′ 09″W, 7° 58′ 39″ S and 38°17′ 54″W","3 reservoirs of unspecified distances apart","Collections spanned 2015 - 2-16","eutrophic","bu",0,"Benthic micralgae","y","Britt",2019
"d’Oultremont and Gutierrez 2002","freshwater",3,1,"taxonomic",1,1,1,"Bang Sai, Thailand","model","in silico","nutrients, predators","NA","NA","5 months","NA",NA,1,NA,"y","Heather",2002
"d’Oultremont and Gutierrez 2002","freshwater",3,1,"taxonomic",1,1,0,"floodwater rice pond simulation based maybe on Bang Sai, Thailand","model","in silico","predator, nutrient","NA","2 experiments","Na","NA","td",1,"this fits in that it focuses on the phytoplankton and has functional info, but im not sure about using phyto metacommunities + rice farming (agriculture)","Maybe","Emmy",2002
